"Fillet of mackerel, shaved fennel salad & soy glaze",May-11,"Page 74","Fish",,,
"Hot & sour prawn & peanut salad",May-11,"Page 143","Fish",,,
"Peppered mackerel, new potato & watercress salad",May-11,"Page 29","Fish",,,
"Salmon & broccoli lattice tarts",May-11,"Page 24","Fish",,,
"Salmon & watercress quiche",May-11,"Page 102","Fish",,,
"Salmon baked with juniper & lemon thyme",May-11,"Page 21","Fish",,,
"Smoked haddock & new potato soup",May-11,"Page 68","Fish",,,
"Steamed fish cantonese style",May-11,"Page 147","Fish",,,
"Thai prawn, potato & vegetable curry",May-11,"Page 112","Fish",,,
"Crunchy fish goujons with skinny chips",Jun-11,"Page 31","Fish",,,
"Indonesian fried rice with mackerel",Jun-11,"Page 28","Fish",,,
"Leek & smoked salmon tart",Jun-11,"Page 146","Fish",,,
"Prawn chow mein",Jun-11,"Page 33","Fish",,,
"Prawn cocktail rolls",Jun-11,"Page 47","Fish",,,
"Salmon & asparagus pesto",Jun-11,"Page 54","Fish",,,
"Salt & pepper squid",Jun-11,"Page 122","Fish",,,
"Steamed lemon tilapia with teriyaki sauce",Jun-11,"Page 50","Fish",,,
"Spaghetti with crab, cherry tomatoes & basil",Jun-11,"Page 53","Fish",,,
"Summer fish pie",Jun-11,"Page 119","Fish",,,
"Spiced cocoa-rubbed fish",Jun-11,"Page 145","Fish",,,
"Andalucian shrimp & spring onion fritters",Jul-11,"Page 110","Fish",,,
"Clam, chorizo & white bean stew",Jul-11,"Page 92","Fish",,,
"Crab cakes with dill mayonnaise",Jul-11,"Page 92","Fish",,,
"Hot tea-smoked trout with new potato & rocket salad",Jul-11,"Page 92","Fish",,,
"King prawn fritters with romesco sauce",Jul-11,"Page 141","Fish",,,
"Kung pro prawns",Jul-11,"Page 35","Fish",,,
"Mackerel with sizzled garlic, ginger & tomatoes",Jul-11,"Page 38","Fish",,,
"Baked Mediterranean fish & couscous",Jul-11,"Page 49","Fish",,,
"Parmesan crusted halibut, sag aloo & lime emulsion",Jul-11,"Page 143","Fish",,,
"Prawn, dill & cucumber pasta",Jul-11,"Page 59","Fish",,,
"Salmon with harissa crust",Jul-11,"Page 24","Fish",,,
"Smoked trout fish cakes with mushy peas",Jul-11,"Page 24","Fish",,,
"Vietnamese seafood salad",Jul-11,"Page 50","Fish",,,
"Potted trout",Aug-11,"Page 120","Fish",,,
"Chickpea & mackerel salad",Aug-11,"Page 32","Fish",,,
"Mackerel with gooseberry sauce",Aug-11,"Page 71","Fish",,,
"Fragrant courgette & prawn curry",Aug-11,"Page 80","Fish",,,
"Fragrant fish tagine",Aug-11,"Page 110","Fish",,,
"Fried herring with oats",Aug-11,"Page 133","Fish",,,
"Griddled courgette & seafood lasagne",Aug-11,"Page 48","Fish",,,
"Kedgeree",Aug-11,"Page 133","Fish",,,
"Lemony prawn pasta",Aug-11,"Page 35","Fish",,,
"Lime & ginger salmon",Aug-11,"Page 48","Fish",,,
"Lobster, avocado, & pink grapefruit salad",Aug-11,"Page 133","Fish",,,
"Steamed scallops with Sherry & soy dressing",Aug-11,"Page 73","Fish",,,
"Pea & mint risotto with salmon",Aug-11,"Page 30","Fish",,,
"Prawn & broccoli Asian omelette",Aug-11,"Page 35","Fish",,,
"Prawn tacos",Aug-11,"Page 26","Fish",,,
"Saucy prawns",Aug-11,"Page 35","Fish",,,
"Skewered sardines with tartare dressing",Aug-11,"Page 98","Fish",,,
"Smoky chermoula salmon",Aug-11,"Page 98","Fish",,,
"Tuna melt pizza baguettes",Aug-11,"Page 29","Fish",,,
